	Name	Path	Lev1	Lev2	Lev3
K12790	intimin	Human Diseases; Infectious diseases: Bacterial; Pathogenic Escherichia coli infection	Human Diseases	Infectious diseases: Bacterial	Pathogenic Escherichia coli infection
K12795	suppressor of G2 allele of SKP1	Organismal Systems; Immune system; NOD-like receptor signaling pathway | Organismal Systems; Environmental adaptation; Plant-pathogen interaction	Organismal Systems	Immune system	NOD-like receptor signaling pathway
K12811	ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12812	ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Genetic Information Processing; Translation; mRNA surveillance pathway | Human Diseases; Infectious diseases: Viral; Influenza A | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Translation	Spliceosome
K12813	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12815	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12816	pre-mRNA-processing factor 17	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12817	pre-mRNA-splicing factor 18	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12818	ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12819	pre-mRNA-processing factor SLU7	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12820	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12821	pre-mRNA-processing factor 40	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12822	RNA-binding protein 25	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12823	ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	Human Diseases	Cancers: Overview	Spliceosome
K12825	splicing factor 3A subunit 1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12826	splicing factor 3A subunit 2	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12827	splicing factor 3A subunit 3	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12828	splicing factor 3B subunit 1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12830	splicing factor 3B subunit 3	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12831	splicing factor 3B subunit 4	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12833	pre-mRNA branch site protein p14	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12836	splicing factor U2AF 35 kDa subunit	Genetic Information Processing; Transcription; Spliceosome | Human Diseases; Infectious diseases: Bacterial; Shigellosis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12837	splicing factor U2AF 65 kDa subunit	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12844	U4/U6 small nuclear ribonucleoprotein PRP31	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12845	U4/U6 small nuclear ribonucleoprotein SNU13	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	Genetic Information Processing	Protein families: genetic information processing	Spliceosome
K12847	U4/U6.U5 tri-snRNP-associated protein 2	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12849	pre-mRNA-splicing factor 38A	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12850	pre-mRNA-splicing factor 38B	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12852	116 kDa U5 small nuclear ribonucleoprotein component	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12854	pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12855	pre-mRNA-processing factor 6	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12856	pre-mRNA-processing factor 8	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12857	Prp8 binding protein	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12858	ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12859	U5 snRNP protein, DIM1 family	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12860	pre-mRNA-splicing factor CDC5/CEF1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12862	pleiotropic regulator 1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12863	protein CWC15	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12864	beta-catenin-like protein 1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12867	pre-mRNA-splicing factor SYF1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12868	pre-mRNA-splicing factor SYF2	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12869	crooked neck	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K12870	pre-mRNA-splicing factor ISY1	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12872	pre-mRNA-splicing factor RBM22/SLT11	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12873	bud site selection protein 31	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12874	intron-binding protein aquarius	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12875	apoptotic chromatin condensation inducer in the nucleus	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Genetic Information Processing; Translation; mRNA surveillance pathway | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Translation	Spliceosome
K12878	THO complex subunit 1	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Protein families: genetic information processing	Spliceosome
K12879	THO complex subunit 2	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Protein families: genetic information processing	Spliceosome
K12880	THO complex subunit 3	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Protein families: genetic information processing	Spliceosome
K12881	THO complex subunit 4	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Genetic Information Processing; Translation; mRNA surveillance pathway | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Translation	Spliceosome
K12883	nuclear cap-binding protein subunit 2	Genetic Information Processing; Transcription; Spliceosome | Genetic Information Processing; Translation; RNA transport | Genetic Information Processing; Translation; mRNA surveillance pathway | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Translation	Spliceosome
K12885	heterogeneous nuclear ribonucleoprotein G	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12890	splicing factor, arginine/serine-rich 1	Genetic Information Processing; Transcription; Spliceosome | Organismal Systems; Immune system; IL-17 signaling pathway | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12893	splicing factor, arginine/serine-rich 4/5/6	Genetic Information Processing; Transcription; Spliceosome | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12896	splicing factor, arginine/serine-rich 7	Genetic Information Processing; Transcription; Spliceosome | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Genetic Information Processing	Transcription	Spliceosome
K12897	transformer-2 protein	Genetic Information Processing; Transcription; Spliceosome | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Brite Hierarchies	Transcription	Spliceosome
K12940	aminobenzoyl-glutamate utilization protein A	Brite Hierarchies; Protein families: metabolism; Peptidases	Brite Hierarchies	Protein families: metabolism	Peptidases
K12941	aminobenzoyl-glutamate utilization protein B	Brite Hierarchies; Protein families: metabolism; Peptidases	Brite Hierarchies	Protein families: metabolism	Peptidases
K12942	aminobenzoyl-glutamate transport protein	Not Included in Pathway or Brite; Unclassified: metabolism; Cofactor metabolism	Not Included in Pathway or Brite	Unclassified: metabolism	Cofactor metabolism
K12943	lipoprotein YgeR	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Structural proteins
K12944	nucleoside triphosphatase [EC:3.6.1.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12948	signal peptidase complex subunit 3 [EC:3.4.-.-]	Genetic Information Processing; Folding, sorting and degradation; Protein export	Genetic Information Processing	Folding, sorting and degradation	Protein export
K12949	cation-transporting P-type ATPase A/B [EC:3.6.3.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12950	manganese/zinc-transporting P-type ATPase C [EC:3.6.3.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12951	cobalt/nickel-transporting P-type ATPase D [EC:3.6.3.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12952	cation-transporting P-type ATPase E [EC:3.6.3.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12953	cation-transporting P-type ATPase F [EC:3.6.3.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12954	cation-transporting P-type ATPase G [EC:3.6.3.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12957	uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism
K12962	undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE	Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Drug resistance: Antimicrobial	Cationic antimicrobial peptide (CAMP) resistance
K12972	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
K12973	lipid IVA palmitoyltransferase [EC:2.3.1.251]	Human Diseases; Infectious diseases: Bacterial; Pertussis | Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Human Diseases	Infectious diseases: Bacterial	Pertussis
K12982	heptosyltransferase I [EC:2.4.-.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12983	UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12984	(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12985	(galactosyl)LPS 1,2-glucosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12986	1,5-rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12987	alpha-1,6-rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12988	alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12989	mannosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12990	rhamnosyltransferase [EC:2.4.1.-]	Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Cellular Processes	Cellular community - prokaryotes	Quorum sensing
K12991	rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12992	rhamnosyltransferase [EC:2.4.1.-]	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Biofilm formation - Pseudomonas aeruginosa
K12993	alpha-1,2-rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12994	mannosyl-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / alpha-1,3-rhamnosyltransferase [EC:2.4.1.349 2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12995	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / rhamnosyltransferase [EC:2.4.1.348 2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12996	rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12997	rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12998	glucosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K12999	glucosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13001	mannosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13002	glycosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13003	glycosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13004	galacturonosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13005	abequosyltransferase [EC:2.4.1.60]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13006	UDP-perosamine 4-acetyltransferase [EC:2.3.1.-]	Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins
K13007	Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases
K13009	O-antigen polymerase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins
K13010	perosamine synthetase [EC:2.6.1.102]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes	Brite Hierarchies	Protein families: metabolism	Amino sugar and nucleotide sugar metabolism
K13012	O-antigen biosynthesis protein WbqP	Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins
K13013	O-antigen biosynthesis protein WbqV	Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins
K13015	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
K13016	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes	Brite Hierarchies	Protein families: metabolism	Amino sugar and nucleotide sugar metabolism
K13018	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
K13019	UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
K13020	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
K13021	MFS transporter, ACS family, tartrate transporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K13024	inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]	Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system
